time_E Nt_E LCL_E median_E UCL_E	time_W Nt_W LCL_W median_W UCL_W
159000 225129585.958527 14085279.6055934 37769675.9957719 248308109.701342	159000 85416696.0587686 31927902.6910907 57515106.7636713 2977055442.53273
160000 252564864.439249 14068481.2872036 38553675.5633304 287205068.683125	160000 84821664.5476785 31948242.6491254 57467050.7998057 3268247392.74097
161000 285321445.016489 14059359.6588331 39362776.9439721 336279637.119443	161000 84229661.3378292 31980033.8438623 57430242.1887225 3544339499.75167
162000 324864525.52492 14057863.0739971 40197978.2673644 399269960.471893	162000 83640732.4318832 32023347.4837808 57404689.4700451 3781789564.73077
163000 373198276.513403 14063966.1129969 41060317.2114439 481663227.629482	163000 83054921.4367176 32078280.0985329 57390417.3629442 3955105803.0445
164000 433121188.658704 14077669.2237073 41950871.6529786 591647675.844943	164000 82472269.6196295 32144954.0805549 57387466.9333314 4042665637.06073
165000 508633609.257107 14098998.5909153 42870760.1324866 741563521.303885	165000 81892815.9643302 32223518.3738304 57395895.8243547 4033069407.6133
166000 605609825.009145 14128006.2303761 43586386.9196978 949881162.599039	166000 81316597.2266685 32314149.3171162 57450774.3093431 3928879824.81243
167000 732948759.171788 14164770.3075 44016694.0544839 1242905879.07608	167000 80743647.9900277 32417051.6506647 57585546.1513245 3745574339.54798
168000 904631218.382344 14209395.6842943 44464680.2764264 1651993844.2097	168000 80174000.7203427 32532459.6973549 57732632.9950659 3506377891.88806
169000 1143587625.40931 14262014.7019588 44930947.6976487 2191782183.3498	169000 79607685.8206881 32660638.7312203 57892222.408627 3235879785.82535
170000 1489410405.66622 14322788.2104784 45416143.6115476 2791274944.02166	170000 79044731.6853925 32801886.548668 58064521.375375 2955219450.54583
171000 2014831452.07043 14391906.8607689 45920963.7681898 3205263890.40648	171000 78485164.7536352 32956535.2602735 58249757.0604508 2679905178.00869
172000 2863856330.65516 14469592.679537 46446156.0175995 3147273586.22499	172000 77929009.5624865 33124953.3239596 58448177.6667004 2419781248.06526
173000 4348073649.3861 14556100.9521451 46992524.3652786 2663319974.93723	173000 77376288.7993561 33307547.8436957 58660053.3865912 2180111175.58004
174000 7207645482.12904 14651722.4445681 47560933.491114 2062584982.7116	174000 76827023.3538147 33504767.1616531 58885677.4575081 1962934885.16292
175000 13254951959.765 14756786.0021868 48152313.7908069 1550082283.17911	175000 76281232.3687601 33717103.776125 59125367.3287883 1768255007.43824
176000 24942182283.1836 14871661.570877 48767667.0083329 1169039398.89787	176000 75738933.2908982 33945097.6225593 59379465.949937 1594913182.19768
177000 30591120608.71 14996763.6949055 49408072.5390032 897303243.326849	177000 75200141.9205153 34189339.7609031 59648343.190676 1441173881.07464
178000 18785337582.0431 15132555.5568298 50074694.4957835 703795373.801404	178000 74664872.4605177 34450476.5192607 59932397.4048342 1305085387.22562
179000 9830515031.63254 15279553.6373304 50768789.6470798 563980867.62101	179000 74133137.5647196 34729214.1518236 60232057.1516241 1184688815.95792
180000 5612856126.24681 15438333.0881587 51491716.3527415 460926874.453335	180000 73604948.3853594 35026324.0783532 60547783.0895791 1078130322.4707
181000 3539221152.68764 15609533.9297835 52244944.6472299 383364128.776754	181000 73080314.6198306 35342648.7834841 60880070.0603879 983714480.352504
182000 2410330019.4131 15793868.2076352 53030067.6455788 323805745.270902	182000 72559244.5566115 35667578.3437874 61229449.3820972 899923300.636054
183000 1738643209.17049 15992128.2680699 54202927.3209816 277218026.752773	183000 72041745.1203835 35984800.6125695 61596491.3736943 825416036.99566
184000 1309948820.95235 16205196.3485606 55601609.5498872 240558452.66817	184000 71527821.9163262 36183886.9418462 61981808.1359875 759018906.85224
185000 1020863017.88992 16434055.7177973 57124960.3962357 211606016.84515	185000 71017479.273583 36348741.9360455 62386056.6170302 699710114.452991
186000 817203518.162094 16679803.6524409 58789869.7041006 188106565.674885	186000 70510720.2878886 36490051.4360632 62809941.9941576 646603277.541199
187000 668558824.305966 16851652.8145669 60616663.9930769 168825713.469232	187000 70007546.8633545 36641854.818005 63254221.4091005 598930981.334604
188000 556863787.253801 16986218.7244503 61618312.3126069 152855379.254002	188000 69507959.7534091 36805577.8771583 63719708.0977238 556029360.381099
189000 470868504.911007 17131914.2181211 61368392.8034957 139516951.089871	189000 69011958.6008897 36981559.8569917 64207275.9618067 517324123.252338
190000 403283320.586995 17289597.8604941 61158403.97881 128472507.422523	190000 68519541.9772846 37170171.184161 64717864.637103 482318154.400071
191000 349222399.429201 17460237.5015541 61875515.1011764 119782373.183442	191000 68030707.4211286 37371815.7543751 65252485.1198442 450580671.035955
192000 305314567.819152 17644926.9197382 63090614.6695951 112863174.045164	192000 67545451.47555 37586933.4948417 65812226.0231003 421737831.206733
193000 269174405.55892 17844905.6954595 63430385.7001761 108786096.080491	193000 67063769.7249739 37816003.2388192 66398260.5452294 395464652.019787
194000 239076376.549684 18061583.0623939 63149932.2277518 109858661.906464	194000 66585656.8309849 38059545.9536291 67011854.2453381 371478085.613867
195000 213747773.539836 18296566.6894647 62901874.0025506 112520393.020032	195000 66111106.5673533 38318128.370399 67654373.7356082 349531103.560088
196000 192233529.161606 18551697.6173839 62689136.5330959 116888430.27758	196000 65640111.854231 38592367.0720365 68327296.4179688 329407650.986404
197000 173805789.67908 18829092.9342848 62514393.7767955 121463462.635871	197000 65172664.7915226 38882933.1057739 69032221.4134593 310918345.69535
198000 157902108.297883 19131198.2597379 62381455.283886 126258094.963438	198000 64708756.6914391 39190557.19844 69770881.8574192 293896812.470613
199000 144082370.891572 19460852.7645874 62324382.2844545 133380209.740872	199000 64248378.110242 39516035.6668661 70545158.763188 278196557.292779
2e+05 131998244.678995 19821370.3573667 62339885.4455054 142750649.050865	2e+05 63791518.8791859 39860237.1330912 71357096.6923476 263688299.611838
